id	path	sr	stim	part	domain	consumer	required	source_evidence
vco_b_tri_48000_440	vco_b_tri	48000	440	440	device	VCO-B triangle node of the continuous morph map (vco_b_morph=0.75, tap dryB)	1	product-reachable but NOT a default single carrier: vco_b.cv_in is fed live from vco_a.dry_out (task#83 A->B route, machine_runtime.h:2226-2237), so default cv_amt>0 makes dryB an audio-rate FM-ed voice. Measured as a STEADY carrier with the legal panel knob vco_b_cv_amt=0 tuned by vco_b_oct_sel/tune + vco_b_morph=0.75 (GH#19 S0); identical to vco_a_tri -> confirms A/B share the VCO call point.
vco_b_tri_48000_880	vco_b_tri	48000	880	880	device	VCO-B triangle node of the continuous morph map (vco_b_morph=0.75, tap dryB)	1	product-reachable but NOT a default single carrier: vco_b.cv_in is fed live from vco_a.dry_out (task#83 A->B route, machine_runtime.h:2226-2237), so default cv_amt>0 makes dryB an audio-rate FM-ed voice. Measured as a STEADY carrier with the legal panel knob vco_b_cv_amt=0 tuned by vco_b_oct_sel/tune + vco_b_morph=0.75 (GH#19 S0); identical to vco_a_tri -> confirms A/B share the VCO call point.
vco_b_tri_88200_220	vco_b_tri	88200	220	220	device	VCO-B triangle node of the continuous morph map (vco_b_morph=0.75, tap dryB)	1	product-reachable but NOT a default single carrier: vco_b.cv_in is fed live from vco_a.dry_out (task#83 A->B route, machine_runtime.h:2226-2237), so default cv_amt>0 makes dryB an audio-rate FM-ed voice. Measured as a STEADY carrier with the legal panel knob vco_b_cv_amt=0 tuned by vco_b_oct_sel/tune + vco_b_morph=0.75 (GH#19 S0); identical to vco_a_tri -> confirms A/B share the VCO call point.
vco_b_tri_88200_440	vco_b_tri	88200	440	440	device	VCO-B triangle node of the continuous morph map (vco_b_morph=0.75, tap dryB)	1	product-reachable but NOT a default single carrier: vco_b.cv_in is fed live from vco_a.dry_out (task#83 A->B route, machine_runtime.h:2226-2237), so default cv_amt>0 makes dryB an audio-rate FM-ed voice. Measured as a STEADY carrier with the legal panel knob vco_b_cv_amt=0 tuned by vco_b_oct_sel/tune + vco_b_morph=0.75 (GH#19 S0); identical to vco_a_tri -> confirms A/B share the VCO call point.
vco_b_tri_88200_880	vco_b_tri	88200	880	880	device	VCO-B triangle node of the continuous morph map (vco_b_morph=0.75, tap dryB)	1	product-reachable but NOT a default single carrier: vco_b.cv_in is fed live from vco_a.dry_out (task#83 A->B route, machine_runtime.h:2226-2237), so default cv_amt>0 makes dryB an audio-rate FM-ed voice. Measured as a STEADY carrier with the legal panel knob vco_b_cv_amt=0 tuned by vco_b_oct_sel/tune + vco_b_morph=0.75 (GH#19 S0); identical to vco_a_tri -> confirms A/B share the VCO call point.
vco_b_tri_96000_220	vco_b_tri	96000	220	220	device	VCO-B triangle node of the continuous morph map (vco_b_morph=0.75, tap dryB)	1	product-reachable but NOT a default single carrier: vco_b.cv_in is fed live from vco_a.dry_out (task#83 A->B route, machine_runtime.h:2226-2237), so default cv_amt>0 makes dryB an audio-rate FM-ed voice. Measured as a STEADY carrier with the legal panel knob vco_b_cv_amt=0 tuned by vco_b_oct_sel/tune + vco_b_morph=0.75 (GH#19 S0); identical to vco_a_tri -> confirms A/B share the VCO call point.
vco_b_tri_96000_440	vco_b_tri	96000	440	440	device	VCO-B triangle node of the continuous morph map (vco_b_morph=0.75, tap dryB)	1	product-reachable but NOT a default single carrier: vco_b.cv_in is fed live from vco_a.dry_out (task#83 A->B route, machine_runtime.h:2226-2237), so default cv_amt>0 makes dryB an audio-rate FM-ed voice. Measured as a STEADY carrier with the legal panel knob vco_b_cv_amt=0 tuned by vco_b_oct_sel/tune + vco_b_morph=0.75 (GH#19 S0); identical to vco_a_tri -> confirms A/B share the VCO call point.
vco_b_tri_96000_880	vco_b_tri	96000	880	880	device	VCO-B triangle node of the continuous morph map (vco_b_morph=0.75, tap dryB)	1	product-reachable but NOT a default single carrier: vco_b.cv_in is fed live from vco_a.dry_out (task#83 A->B route, machine_runtime.h:2226-2237), so default cv_amt>0 makes dryB an audio-rate FM-ed voice. Measured as a STEADY carrier with the legal panel knob vco_b_cv_amt=0 tuned by vco_b_oct_sel/tune + vco_b_morph=0.75 (GH#19 S0); identical to vco_a_tri -> confirms A/B share the VCO call point.
vco_a_sync_tri_44100_220	vco_a_sync_tri	44100	220	220	device	VCO-A hard-synced triangle, reset every 256 samples (tap dryA)	1	product-reachable MECHANISM, precision-set rate: vco_a.sync_in is a registered, patchable jack (registry descriptor threshold 5.0V / hysteresis 0.2V; no consumer before task #111). Stimulus = LFO-A square (lfo_a_wave=0) patched to vco_a.sync_in through the public MachineRuntime::connect, so the patch is a panel-reachable cable, not a test-only injection surface. Rate: lfo_a_rate = sr/(M*10) Hz with lfo_a_speed_mult index 2 (= x10, machine_runtime.h speedMultFromIndex_), giving an effective sr/M Hz -> one rising edge every EXACTLY M samples (M=256 at 44.1/48k, 512 at 88.2/96k) and a per-sample phase step of exactly 1/M; 17.23-18.75 Hz sits inside the LFO's 0.1..20 Hz panel range. The edge therefore lands ON a sample-grid point; the exact Hz is set from canonical state by the probe (a panel user dials it approximately). The slave is the SAME dry_a-tapped VCO-A triangle arm as vco_a_tri. Exact M-periodicity of the produced signal and the measured cycle anchor are ASSERTED by the analyzer (blsync_per / blsync_off), which fails closed to no-column rather than answering if the premise does not hold.
vco_a_sync_tri_44100_440	vco_a_sync_tri	44100	440	440	device	VCO-A hard-synced triangle, reset every 256 samples (tap dryA)	1	product-reachable MECHANISM, precision-set rate: vco_a.sync_in is a registered, patchable jack (registry descriptor threshold 5.0V / hysteresis 0.2V; no consumer before task #111). Stimulus = LFO-A square (lfo_a_wave=0) patched to vco_a.sync_in through the public MachineRuntime::connect, so the patch is a panel-reachable cable, not a test-only injection surface. Rate: lfo_a_rate = sr/(M*10) Hz with lfo_a_speed_mult index 2 (= x10, machine_runtime.h speedMultFromIndex_), giving an effective sr/M Hz -> one rising edge every EXACTLY M samples (M=256 at 44.1/48k, 512 at 88.2/96k) and a per-sample phase step of exactly 1/M; 17.23-18.75 Hz sits inside the LFO's 0.1..20 Hz panel range. The edge therefore lands ON a sample-grid point; the exact Hz is set from canonical state by the probe (a panel user dials it approximately). The slave is the SAME dry_a-tapped VCO-A triangle arm as vco_a_tri. Exact M-periodicity of the produced signal and the measured cycle anchor are ASSERTED by the analyzer (blsync_per / blsync_off), which fails closed to no-column rather than answering if the premise does not hold.
vco_a_sync_tri_44100_880	vco_a_sync_tri	44100	880	880	device	VCO-A hard-synced triangle, reset every 256 samples (tap dryA)	1	product-reachable MECHANISM, precision-set rate: vco_a.sync_in is a registered, patchable jack (registry descriptor threshold 5.0V / hysteresis 0.2V; no consumer before task #111). Stimulus = LFO-A square (lfo_a_wave=0) patched to vco_a.sync_in through the public MachineRuntime::connect, so the patch is a panel-reachable cable, not a test-only injection surface. Rate: lfo_a_rate = sr/(M*10) Hz with lfo_a_speed_mult index 2 (= x10, machine_runtime.h speedMultFromIndex_), giving an effective sr/M Hz -> one rising edge every EXACTLY M samples (M=256 at 44.1/48k, 512 at 88.2/96k) and a per-sample phase step of exactly 1/M; 17.23-18.75 Hz sits inside the LFO's 0.1..20 Hz panel range. The edge therefore lands ON a sample-grid point; the exact Hz is set from canonical state by the probe (a panel user dials it approximately). The slave is the SAME dry_a-tapped VCO-A triangle arm as vco_a_tri. Exact M-periodicity of the produced signal and the measured cycle anchor are ASSERTED by the analyzer (blsync_per / blsync_off), which fails closed to no-column rather than answering if the premise does not hold.
vco_a_sync_tri_48000_220	vco_a_sync_tri	48000	220	220	device	VCO-A hard-synced triangle, reset every 256 samples (tap dryA)	1	product-reachable MECHANISM, precision-set rate: vco_a.sync_in is a registered, patchable jack (registry descriptor threshold 5.0V / hysteresis 0.2V; no consumer before task #111). Stimulus = LFO-A square (lfo_a_wave=0) patched to vco_a.sync_in through the public MachineRuntime::connect, so the patch is a panel-reachable cable, not a test-only injection surface. Rate: lfo_a_rate = sr/(M*10) Hz with lfo_a_speed_mult index 2 (= x10, machine_runtime.h speedMultFromIndex_), giving an effective sr/M Hz -> one rising edge every EXACTLY M samples (M=256 at 44.1/48k, 512 at 88.2/96k) and a per-sample phase step of exactly 1/M; 17.23-18.75 Hz sits inside the LFO's 0.1..20 Hz panel range. The edge therefore lands ON a sample-grid point; the exact Hz is set from canonical state by the probe (a panel user dials it approximately). The slave is the SAME dry_a-tapped VCO-A triangle arm as vco_a_tri. Exact M-periodicity of the produced signal and the measured cycle anchor are ASSERTED by the analyzer (blsync_per / blsync_off), which fails closed to no-column rather than answering if the premise does not hold.
vco_a_sync_tri_48000_440	vco_a_sync_tri	48000	440	440	device	VCO-A hard-synced triangle, reset every 256 samples (tap dryA)	1	product-reachable MECHANISM, precision-set rate: vco_a.sync_in is a registered, patchable jack (registry descriptor threshold 5.0V / hysteresis 0.2V; no consumer before task #111). Stimulus = LFO-A square (lfo_a_wave=0) patched to vco_a.sync_in through the public MachineRuntime::connect, so the patch is a panel-reachable cable, not a test-only injection surface. Rate: lfo_a_rate = sr/(M*10) Hz with lfo_a_speed_mult index 2 (= x10, machine_runtime.h speedMultFromIndex_), giving an effective sr/M Hz -> one rising edge every EXACTLY M samples (M=256 at 44.1/48k, 512 at 88.2/96k) and a per-sample phase step of exactly 1/M; 17.23-18.75 Hz sits inside the LFO's 0.1..20 Hz panel range. The edge therefore lands ON a sample-grid point; the exact Hz is set from canonical state by the probe (a panel user dials it approximately). The slave is the SAME dry_a-tapped VCO-A triangle arm as vco_a_tri. Exact M-periodicity of the produced signal and the measured cycle anchor are ASSERTED by the analyzer (blsync_per / blsync_off), which fails closed to no-column rather than answering if the premise does not hold.
vco_a_sync_tri_48000_880	vco_a_sync_tri	48000	880	880	device	VCO-A hard-synced triangle, reset every 256 samples (tap dryA)	1	product-reachable MECHANISM, precision-set rate: vco_a.sync_in is a registered, patchable jack (registry descriptor threshold 5.0V / hysteresis 0.2V; no consumer before task #111). Stimulus = LFO-A square (lfo_a_wave=0) patched to vco_a.sync_in through the public MachineRuntime::connect, so the patch is a panel-reachable cable, not a test-only injection surface. Rate: lfo_a_rate = sr/(M*10) Hz with lfo_a_speed_mult index 2 (= x10, machine_runtime.h speedMultFromIndex_), giving an effective sr/M Hz -> one rising edge every EXACTLY M samples (M=256 at 44.1/48k, 512 at 88.2/96k) and a per-sample phase step of exactly 1/M; 17.23-18.75 Hz sits inside the LFO's 0.1..20 Hz panel range. The edge therefore lands ON a sample-grid point; the exact Hz is set from canonical state by the probe (a panel user dials it approximately). The slave is the SAME dry_a-tapped VCO-A triangle arm as vco_a_tri. Exact M-periodicity of the produced signal and the measured cycle anchor are ASSERTED by the analyzer (blsync_per / blsync_off), which fails closed to no-column rather than answering if the premise does not hold.
vco_a_sync_tri_88200_220	vco_a_sync_tri	88200	220	220	device	VCO-A hard-synced triangle, reset every 512 samples (tap dryA)	1	product-reachable MECHANISM, precision-set rate: vco_a.sync_in is a registered, patchable jack (registry descriptor threshold 5.0V / hysteresis 0.2V; no consumer before task #111). Stimulus = LFO-A square (lfo_a_wave=0) patched to vco_a.sync_in through the public MachineRuntime::connect, so the patch is a panel-reachable cable, not a test-only injection surface. Rate: lfo_a_rate = sr/(M*10) Hz with lfo_a_speed_mult index 2 (= x10, machine_runtime.h speedMultFromIndex_), giving an effective sr/M Hz -> one rising edge every EXACTLY M samples (M=256 at 44.1/48k, 512 at 88.2/96k) and a per-sample phase step of exactly 1/M; 17.23-18.75 Hz sits inside the LFO's 0.1..20 Hz panel range. The edge therefore lands ON a sample-grid point; the exact Hz is set from canonical state by the probe (a panel user dials it approximately). The slave is the SAME dry_a-tapped VCO-A triangle arm as vco_a_tri. Exact M-periodicity of the produced signal and the measured cycle anchor are ASSERTED by the analyzer (blsync_per / blsync_off), which fails closed to no-column rather than answering if the premise does not hold.
vco_a_sync_tri_88200_440	vco_a_sync_tri	88200	440	440	device	VCO-A hard-synced triangle, reset every 512 samples (tap dryA)	1	product-reachable MECHANISM, precision-set rate: vco_a.sync_in is a registered, patchable jack (registry descriptor threshold 5.0V / hysteresis 0.2V; no consumer before task #111). Stimulus = LFO-A square (lfo_a_wave=0) patched to vco_a.sync_in through the public MachineRuntime::connect, so the patch is a panel-reachable cable, not a test-only injection surface. Rate: lfo_a_rate = sr/(M*10) Hz with lfo_a_speed_mult index 2 (= x10, machine_runtime.h speedMultFromIndex_), giving an effective sr/M Hz -> one rising edge every EXACTLY M samples (M=256 at 44.1/48k, 512 at 88.2/96k) and a per-sample phase step of exactly 1/M; 17.23-18.75 Hz sits inside the LFO's 0.1..20 Hz panel range. The edge therefore lands ON a sample-grid point; the exact Hz is set from canonical state by the probe (a panel user dials it approximately). The slave is the SAME dry_a-tapped VCO-A triangle arm as vco_a_tri. Exact M-periodicity of the produced signal and the measured cycle anchor are ASSERTED by the analyzer (blsync_per / blsync_off), which fails closed to no-column rather than answering if the premise does not hold.
vco_a_sync_tri_88200_880	vco_a_sync_tri	88200	880	880	device	VCO-A hard-synced triangle, reset every 512 samples (tap dryA)	1	product-reachable MECHANISM, precision-set rate: vco_a.sync_in is a registered, patchable jack (registry descriptor threshold 5.0V / hysteresis 0.2V; no consumer before task #111). Stimulus = LFO-A square (lfo_a_wave=0) patched to vco_a.sync_in through the public MachineRuntime::connect, so the patch is a panel-reachable cable, not a test-only injection surface. Rate: lfo_a_rate = sr/(M*10) Hz with lfo_a_speed_mult index 2 (= x10, machine_runtime.h speedMultFromIndex_), giving an effective sr/M Hz -> one rising edge every EXACTLY M samples (M=256 at 44.1/48k, 512 at 88.2/96k) and a per-sample phase step of exactly 1/M; 17.23-18.75 Hz sits inside the LFO's 0.1..20 Hz panel range. The edge therefore lands ON a sample-grid point; the exact Hz is set from canonical state by the probe (a panel user dials it approximately). The slave is the SAME dry_a-tapped VCO-A triangle arm as vco_a_tri. Exact M-periodicity of the produced signal and the measured cycle anchor are ASSERTED by the analyzer (blsync_per / blsync_off), which fails closed to no-column rather than answering if the premise does not hold.
vco_a_sync_tri_96000_220	vco_a_sync_tri	96000	220	220	device	VCO-A hard-synced triangle, reset every 512 samples (tap dryA)	1	product-reachable MECHANISM, precision-set rate: vco_a.sync_in is a registered, patchable jack (registry descriptor threshold 5.0V / hysteresis 0.2V; no consumer before task #111). Stimulus = LFO-A square (lfo_a_wave=0) patched to vco_a.sync_in through the public MachineRuntime::connect, so the patch is a panel-reachable cable, not a test-only injection surface. Rate: lfo_a_rate = sr/(M*10) Hz with lfo_a_speed_mult index 2 (= x10, machine_runtime.h speedMultFromIndex_), giving an effective sr/M Hz -> one rising edge every EXACTLY M samples (M=256 at 44.1/48k, 512 at 88.2/96k) and a per-sample phase step of exactly 1/M; 17.23-18.75 Hz sits inside the LFO's 0.1..20 Hz panel range. The edge therefore lands ON a sample-grid point; the exact Hz is set from canonical state by the probe (a panel user dials it approximately). The slave is the SAME dry_a-tapped VCO-A triangle arm as vco_a_tri. Exact M-periodicity of the produced signal and the measured cycle anchor are ASSERTED by the analyzer (blsync_per / blsync_off), which fails closed to no-column rather than answering if the premise does not hold.
vco_a_sync_tri_96000_440	vco_a_sync_tri	96000	440	440	device	VCO-A hard-synced triangle, reset every 512 samples (tap dryA)	1	product-reachable MECHANISM, precision-set rate: vco_a.sync_in is a registered, patchable jack (registry descriptor threshold 5.0V / hysteresis 0.2V; no consumer before task #111). Stimulus = LFO-A square (lfo_a_wave=0) patched to vco_a.sync_in through the public MachineRuntime::connect, so the patch is a panel-reachable cable, not a test-only injection surface. Rate: lfo_a_rate = sr/(M*10) Hz with lfo_a_speed_mult index 2 (= x10, machine_runtime.h speedMultFromIndex_), giving an effective sr/M Hz -> one rising edge every EXACTLY M samples (M=256 at 44.1/48k, 512 at 88.2/96k) and a per-sample phase step of exactly 1/M; 17.23-18.75 Hz sits inside the LFO's 0.1..20 Hz panel range. The edge therefore lands ON a sample-grid point; the exact Hz is set from canonical state by the probe (a panel user dials it approximately). The slave is the SAME dry_a-tapped VCO-A triangle arm as vco_a_tri. Exact M-periodicity of the produced signal and the measured cycle anchor are ASSERTED by the analyzer (blsync_per / blsync_off), which fails closed to no-column rather than answering if the premise does not hold.
vco_a_sync_tri_96000_880	vco_a_sync_tri	96000	880	880	device	VCO-A hard-synced triangle, reset every 512 samples (tap dryA)	1	product-reachable MECHANISM, precision-set rate: vco_a.sync_in is a registered, patchable jack (registry descriptor threshold 5.0V / hysteresis 0.2V; no consumer before task #111). Stimulus = LFO-A square (lfo_a_wave=0) patched to vco_a.sync_in through the public MachineRuntime::connect, so the patch is a panel-reachable cable, not a test-only injection surface. Rate: lfo_a_rate = sr/(M*10) Hz with lfo_a_speed_mult index 2 (= x10, machine_runtime.h speedMultFromIndex_), giving an effective sr/M Hz -> one rising edge every EXACTLY M samples (M=256 at 44.1/48k, 512 at 88.2/96k) and a per-sample phase step of exactly 1/M; 17.23-18.75 Hz sits inside the LFO's 0.1..20 Hz panel range. The edge therefore lands ON a sample-grid point; the exact Hz is set from canonical state by the probe (a panel user dials it approximately). The slave is the SAME dry_a-tapped VCO-A triangle arm as vco_a_tri. Exact M-periodicity of the produced signal and the measured cycle anchor are ASSERTED by the analyzer (blsync_per / blsync_off), which fails closed to no-column rather than answering if the premise does not hold.
drone1_classic_44100_t20	drone1_classic	44100	t20	t20	volt	classic drone-1 gen1 saw+cubic (droneChannel(0))	1	product-reachable (drone_1_tune_1, mute_2..5=1), single carrier
drone1_classic_44100_t50	drone1_classic	44100	t50	t50	volt	classic drone-1 gen1 saw+cubic (droneChannel(0))	1	product-reachable (drone_1_tune_1, mute_2..5=1), single carrier
drone1_classic_44100_t80	drone1_classic	44100	t80	t80	volt	classic drone-1 gen1 saw+cubic (droneChannel(0))	1	product-reachable (drone_1_tune_1, mute_2..5=1), single carrier
drone1_classic_48000_t20	drone1_classic	48000	t20	t20	volt	classic drone-1 gen1 saw+cubic (droneChannel(0))	1	product-reachable (drone_1_tune_1, mute_2..5=1), single carrier
drone1_classic_48000_t50	drone1_classic	48000	t50	t50	volt	classic drone-1 gen1 saw+cubic (droneChannel(0))	1	product-reachable (drone_1_tune_1, mute_2..5=1), single carrier
drone1_classic_48000_t80	drone1_classic	48000	t80	t80	volt	classic drone-1 gen1 saw+cubic (droneChannel(0))	1	product-reachable (drone_1_tune_1, mute_2..5=1), single carrier
drone1_classic_88200_t20	drone1_classic	88200	t20	t20	volt	classic drone-1 gen1 saw+cubic (droneChannel(0))	1	product-reachable (drone_1_tune_1, mute_2..5=1), single carrier
drone1_classic_88200_t50	drone1_classic	88200	t50	t50	volt	classic drone-1 gen1 saw+cubic (droneChannel(0))	1	product-reachable (drone_1_tune_1, mute_2..5=1), single carrier
drone1_classic_88200_t80	drone1_classic	88200	t80	t80	volt	classic drone-1 gen1 saw+cubic (droneChannel(0))	1	product-reachable (drone_1_tune_1, mute_2..5=1), single carrier
drone1_classic_96000_t20	drone1_classic	96000	t20	t20	volt	classic drone-1 gen1 saw+cubic (droneChannel(0))	1	product-reachable (drone_1_tune_1, mute_2..5=1), single carrier
drone1_classic_96000_t50	drone1_classic	96000	t50	t50	volt	classic drone-1 gen1 saw+cubic (droneChannel(0))	1	product-reachable (drone_1_tune_1, mute_2..5=1), single carrier
drone1_classic_96000_t80	drone1_classic	96000	t80	t80	volt	classic drone-1 gen1 saw+cubic (droneChannel(0))	1	product-reachable (drone_1_tune_1, mute_2..5=1), single carrier
drone4_classic_44100_t20	drone4_classic	44100	t20	t20	volt	classic drone-4 gen4 saw+cubic HIGH role (droneChannel(2))	1	product-reachable (drone_4_tune_4, mute_1..3,5=1), single carrier, volt=30 semis down (drone_4.volt norm 0.5) => generators land 97-224 Hz, i.e. the LOW band -- this row does NOT by itself discharge ruling 3; see drone4_classic_v0_* for the HIGH-band lane
drone4_classic_44100_t50	drone4_classic	44100	t50	t50	volt	classic drone-4 gen4 saw+cubic HIGH role (droneChannel(2))	1	product-reachable (drone_4_tune_4, mute_1..3,5=1), single carrier, volt=30 semis down (drone_4.volt norm 0.5) => generators land 97-224 Hz, i.e. the LOW band -- this row does NOT by itself discharge ruling 3; see drone4_classic_v0_* for the HIGH-band lane
drone4_classic_44100_t80	drone4_classic	44100	t80	t80	volt	classic drone-4 gen4 saw+cubic HIGH role (droneChannel(2))	1	product-reachable (drone_4_tune_4, mute_1..3,5=1), single carrier, volt=30 semis down (drone_4.volt norm 0.5) => generators land 97-224 Hz, i.e. the LOW band -- this row does NOT by itself discharge ruling 3; see drone4_classic_v0_* for the HIGH-band lane
drone4_classic_48000_t20	drone4_classic	48000	t20	t20	volt	classic drone-4 gen4 saw+cubic HIGH role (droneChannel(2))	1	product-reachable (drone_4_tune_4, mute_1..3,5=1), single carrier, volt=30 semis down (drone_4.volt norm 0.5) => generators land 97-224 Hz, i.e. the LOW band -- this row does NOT by itself discharge ruling 3; see drone4_classic_v0_* for the HIGH-band lane
drone4_classic_48000_t50	drone4_classic	48000	t50	t50	volt	classic drone-4 gen4 saw+cubic HIGH role (droneChannel(2))	1	product-reachable (drone_4_tune_4, mute_1..3,5=1), single carrier, volt=30 semis down (drone_4.volt norm 0.5) => generators land 97-224 Hz, i.e. the LOW band -- this row does NOT by itself discharge ruling 3; see drone4_classic_v0_* for the HIGH-band lane
drone4_classic_48000_t80	drone4_classic	48000	t80	t80	volt	classic drone-4 gen4 saw+cubic HIGH role (droneChannel(2))	1	product-reachable (drone_4_tune_4, mute_1..3,5=1), single carrier, volt=30 semis down (drone_4.volt norm 0.5) => generators land 97-224 Hz, i.e. the LOW band -- this row does NOT by itself discharge ruling 3; see drone4_classic_v0_* for the HIGH-band lane
drone4_classic_88200_t20	drone4_classic	88200	t20	t20	volt	classic drone-4 gen4 saw+cubic HIGH role (droneChannel(2))	1	product-reachable (drone_4_tune_4, mute_1..3,5=1), single carrier, volt=30 semis down (drone_4.volt norm 0.5) => generators land 97-224 Hz, i.e. the LOW band -- this row does NOT by itself discharge ruling 3; see drone4_classic_v0_* for the HIGH-band lane
drone4_classic_88200_t50	drone4_classic	88200	t50	t50	volt	classic drone-4 gen4 saw+cubic HIGH role (droneChannel(2))	1	product-reachable (drone_4_tune_4, mute_1..3,5=1), single carrier, volt=30 semis down (drone_4.volt norm 0.5) => generators land 97-224 Hz, i.e. the LOW band -- this row does NOT by itself discharge ruling 3; see drone4_classic_v0_* for the HIGH-band lane
drone4_classic_88200_t80	drone4_classic	88200	t80	t80	volt	classic drone-4 gen4 saw+cubic HIGH role (droneChannel(2))	1	product-reachable (drone_4_tune_4, mute_1..3,5=1), single carrier, volt=30 semis down (drone_4.volt norm 0.5) => generators land 97-224 Hz, i.e. the LOW band -- this row does NOT by itself discharge ruling 3; see drone4_classic_v0_* for the HIGH-band lane
